ID,"Mô tả","Mật khẩu mới (Input)","Kết quả Mong đợi","Trạng thái"
UT20,"Đổi mật khẩu thành công",Pass@1234,"Đổi mật khẩu thành công, thông báo đúng",FAIL
UT21,"Mật khẩu mới bị bỏ trống",,"Lỗi: Vui lòng nhập mật khẩu mới!",FAIL
UT22,"Xác nhận mật khẩu bị bỏ trống",Pass@1234,"Lỗi: Vui lòng nhập xác nhận mật khẩu!",FAIL
UT23,"Cả hai trường đều trống",,"Lỗi: Vui lòng nhập đầy đủ mật khẩu mới và xác nhận!",FAIL
UT24,"Mật khẩu xác nhận không khớp","Pass@1234 / NewPass@4321","Lỗi: Xác nhận mật khẩu không khớp!",FAIL
UT25,"Lỗi hệ thống khi cập nhật mật khẩu (Giả lập)",Pass@1234,"Lỗi: Đổi mật khẩu thất bại, vui lòng thử lại sau!",PASS
UT26,"Độ dài tối thiểu (8 ký tự)",Pass@123,"Lỗi: Mật khẩu phải có ít nhất 9 ký tự!",FAIL
UT27,"Mật khẩu chứa ký tự không hợp lệ (dấu cách)","Pass @ 1234","Lỗi: Mật khẩu chứa ký tự không hợp lệ!",FAIL
